"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2846","@smoke comp logo exists on product page","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","2080","@smoke login page title test","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","1282","@smoke GET API -- get all users","chromium","2026-06-28","passed","2026-06-28","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","1670","@smoke POST - create a user","chromium","2026-06-28","passed","2026-06-28","","api/users.api.indi.spec.ts","",""
"","4191","@smoke verify product images count","chromium","2026-06-28","passed","2026-06-28","","productinfopage.spec.ts","",""
"","2755","@smoke footers exist on product page","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","2804","@smoke Home Page Headers Test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","2918","@smoke User able to Login","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
